<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  36  3 19 50 99   4 999   0   1040      2  0.00     29    6.30    0.08    1.96   -5.94    4.09   -4.74    0.05    0.59 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.45   -0.48    0.36    77   -25    52     2    -9     9    14   0.79 99.9
1981  36  3 20 50 99   9 999   0   1000     25  0.01     99    6.28   -0.20    2.05   -5.89    4.15   -4.66    0.06    0.63 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.47   -0.49    0.40    72   -22    50     2    -9     9    13   0.80 99.9
1981  36  3 21 50 99   2 999   0    996     11  0.00     64    6.23   -0.20    2.68   -5.61    4.62   -4.16    0.02    0.11 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.53   -0.49    0.43    69   -20    49     2   -10     9    13   0.77 99.9
1981  36  3 22 50 99   4 999   0   1027      6  0.00     29    6.32   -0.24    2.61   -5.74    4.60   -4.31    0.04    0.22 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.51   -0.49    0.44    74   -24    50     2   -10     8    13   0.83 99.9
1981  36  3 23 50 99   4 999   0    999     14  0.00     87    6.42    0.19    2.61   -5.82    4.63   -4.39    0.03    0.43 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.53   -0.49    0.36    83   -27    56     2   -10     8    13   0.89 99.9
1981  36  3 24 50 50   4   2   0   1016     49  0.03     43    6.35   -0.20    2.22   -5.87    4.28   -4.59    0.14    0.92   393.0  -392.5   -15.8    12.1   3.78   39933.  1.17   1.80   0.66   6.0   -6.01  -37.52   -4.25   13.56   -0.48   -0.05    91   -31    60     2   -10     9    13   0.99  4.8
1981  36  3 25 50 50  12   1   0    950     90  0.03    126    6.18    3.67    2.58   -3.06    3.55   -1.86    0.14    2.90   370.4  -368.9   -16.8    28.4   4.30   30123.  1.18   0.69   0.74   6.2   -5.99  -37.52   -4.26   13.79   -0.56   -0.42    89   -30    59     2   -10     9    13   1.04  4.9
1981  36  3 26 50 50   6   2   0    974    104  0.02     35    6.17    3.75    2.52   -2.62    3.32   -1.47    0.15    3.26   390.8  -390.2   -15.7   -13.6   3.95   42993.  1.21   0.57   0.74   6.3   -6.02  -37.52   -4.24   13.48   -0.65   -0.64    88   -27    61     2   -10     8    13   1.05  4.9
1981  36  3 27 50 50   6   3   0    944     84  0.01     90    6.08    4.53    3.26   -2.28    3.88   -0.88    0.05    0.51   361.5  -360.4   -15.3   -10.2   5.01  128906.  1.31   0.32   1.45   6.7   -5.99  -37.52   -4.25   13.48   -0.80   -0.68    89   -24    65     2   -10     8    13   1.09  4.4
1981  36  3 28 50 50   3   1   0    908     22  0.05     95    6.05    4.13    3.71   -2.32    4.31   -0.75    0.07    0.28   372.3  -372.0    -2.6    13.6   4.30   81673.  1.19   0.28   1.03   6.4   -5.96  -37.53   -4.28   14.00   -1.00   -0.44    95   -25    70     2   -10     8    13   1.15  4.6
1981  36  3 29 50 99   4 999   0    908     64  0.13     60    6.06    4.41    3.52   -2.01    4.02   -0.54    0.06    0.83 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.71   -0.81   -0.01   104   -27    77     2   -10     9    13   1.24 99.9
1981  36  3 30 50 99   3 999   0    957     64  0.08     11    6.10    4.68    3.37   -1.78    3.79   -0.39    0.04    0.71 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.81   -0.82   -0.11   106   -27    79     2   -10     9    13   1.30 99.9
1981  36  3 31 50 50   5   1   0    884    110  0.10    133    6.07    5.05    3.05   -0.81    3.13    0.39    0.02    0.97   369.2  -368.8    -4.5    16.7   4.82   25599.  1.31  -0.14   0.84   6.7   -5.92  -37.54   -4.31   13.89   -0.87   -0.60   107   -27    80     2   -10    10    14   1.30  5.1
1981  36  3 32 50 50  16   4   0    907    100  0.08     37    6.07    5.26    2.84   -0.44    2.80    0.65    0.05    0.82   367.9  -365.8   -10.6    31.9   4.87   42931.  1.32  -0.24   0.94   6.7   -5.92  -37.54   -4.30   13.98   -0.78   -0.63   107   -28    79     2   -10    10    13   1.34  5.0
1981  36  3 33 50 50  13   2   0    875    126  0.11     91    6.14    5.26    2.93   -0.97    3.08    0.19    0.05    0.68   349.6  -349.2   -13.0   -11.0   6.57   97513.  1.61  -0.07   1.64   7.3   -5.94  -37.53   -4.29   13.82   -0.69   -0.97   107   -30    77     2   -10     9    13   1.40  4.7
1981  36  3 34 50 50   5   1   0    768      7  0.03    166    6.21    5.32    2.89   -1.31    3.17   -0.14    0.05    0.29   368.7  -365.7   -13.4    44.9   5.08   46394.  1.38   0.05   0.96   6.7   -5.89  -37.55   -4.33   13.72   -0.62   -1.69   110   -34    76     2   -10     9    13   1.42  5.0
1981  36  3 35 50 50   3   1   0    776      4  0.00     51    6.22    5.30    2.74   -1.74    3.19   -0.60    0.02    0.18   368.7  -365.7   -16.6    44.3   5.26   46394.  1.43   0.22   0.99   6.8   -5.88  -37.55   -4.33   13.59   -0.53   -1.65   110   -35    75     2   -10     9    12   1.47  5.0
