<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  36  3 36 50 50   3   1   0    795      4  0.00     41    6.22    5.29    2.13   -2.44    2.88   -1.48    0.00    0.28   368.7  -365.7   -16.6    44.3   5.26   46394.  1.43   0.55   0.99   6.8   -5.88  -37.55   -4.33   13.45   -0.49   -1.50   118   -38    80     2   -11     9    12   1.47  5.0
1981  36  3 37 50 99   4 999   0    813      2  0.02     42    6.20    4.88    3.31   -1.80    3.74   -0.45    0.03    0.38 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.59   -0.51   -1.22   119   -37    82     2   -11     9    12   1.50 99.9
1981  36  3 38 50 99   4 999   0    821      3  0.00     51    6.19    4.65    3.19   -2.15    3.76   -0.83    0.05    0.95 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.54   -0.52   -0.89   114   -31    83     2   -11     9    12   1.45 99.9
1981  36  3 39 50 50   6   1   0    833      4  0.01     47    6.16    4.53    2.13   -3.54    3.28   -2.51    0.03    0.44   363.1  -362.8   -15.2     4.4   5.77   98082.  1.52   0.91   1.43   7.1   -5.85  -37.56   -4.35   13.30   -0.52   -0.48   118   -29    89     2   -11     9    12   1.45  4.7
1981  36  3 40 50 50   6   2   0    795     13  0.01     98    6.15    4.06    2.68   -3.74    3.86   -2.50    0.01    0.35   364.2  -363.9   -14.7     3.5   5.70   94577.  1.51   0.91   1.40   7.1   -5.85  -37.56   -4.35   13.30   -0.57   -0.08   127   -31    96     2   -11     9    12   1.48  4.8
1981  36  3 41 50 50  31  10  94    168    214  0.16    687    6.04    3.71    3.09   -3.59    4.19   -2.21    0.04    0.49   366.1  -366.0    -8.4     0.2   5.74   88109.  1.54   0.81   1.42   7.3   -5.74  -37.59   -4.43   13.26   -0.78   -0.09   127   -29    98     2   -11     9    11   1.45  4.9
1981  36  3 42 50 50  43   9  95    202    341  0.28     26    6.00    3.64    2.99   -3.64    4.11   -2.30    0.06    0.71   372.8  -372.6   -10.3     3.4   5.72   81633.  1.59   0.86   1.39   7.4   -5.73  -37.59   -4.44   13.20   -0.71   -0.15   134   -29   105     2   -11     9    12   1.49  5.0
1981  36  3 43 50 50  19   2  79    551    440  0.35   -289    6.09    3.83    3.03   -3.57    4.12   -2.22    0.05    0.68   367.4  -367.3    -7.7     0.0   5.34   80295.  1.44   0.82   1.25   7.0   -5.81  -37.57   -4.39   13.35   -0.75   -0.11   136   -28   108     2   -11     9    11   1.52  4.8
1981  36  3 44 50 99   4 999  50    876     16  0.01   -264    6.11    4.22    2.44   -3.67    3.61   -2.53    0.02    0.23 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.36   -0.73    0.00   133   -30   103     2   -11    10    11   1.49 99.9
1981  36  4 19 50 50   3   1 100   -268      5  0.01 999999    6.39    0.66    1.03   -6.28    3.06   -5.58    0.02    0.06   392.7  -392.3   -18.5     0.7   5.34   39836.  1.65   2.19   0.92   7.1   -5.33  -37.68   -4.71   12.68   -0.37   -0.00   183   -91    92     2   -17    10     7   1.90  5.3
1981  36  4 20 50 50  13   1 100   -322     23  0.03    113    6.36    0.51    1.12   -6.23    3.13   -5.50    0.03    0.24   394.4  -393.7   -19.9   -13.8   5.26   34356.  1.64   2.17   0.88   7.1   -5.31  -37.68   -4.72   12.70   -0.33    0.31   188   -95    93     2   -17     9     8   1.88  5.4
1981  36  4 21 50 50  12   2 100   -405     21  0.03    143    6.37    0.22    0.85   -6.31    2.89   -5.67    0.02    0.24   395.2  -394.2   -24.0   -13.8   5.08   35446.  1.59   2.24   0.85   7.0   -5.30  -37.69   -4.73   12.75   -0.20    0.45   193   -97    96     2   -17     8     7   1.86  5.3
1981  36  4 22 50 50  11   3 100   -481     19  0.03    135    6.42    0.38    0.35   -6.38    2.44   -5.91    0.04    0.28   388.9  -388.0   -24.6   -11.1   5.25   34806.  1.59   2.30   0.86   6.9   -5.27  -37.69   -4.75   12.76   -0.13    0.40   195   -97    98     2   -17     9     8   1.87  5.3
1981  36  4 23 50 50  10   2 100   -553     18  0.03    132    6.42    1.06   -0.92   -6.09    1.14   -6.05    0.06    1.39   385.1  -383.3   -36.0     6.6   5.01   38779.  1.49   2.33   0.85   6.7   -5.26  -37.69   -4.76   12.92    0.07    0.04   218  -110   108     2   -17     9     9   1.92  5.1
1981  36  4 24 50 50   7   1  29   -594      3  0.01    101    6.50    1.10    0.54   -6.37    2.60   -5.84    0.01    0.16   384.4  -383.4   -23.5   -13.4   5.17   34669.  1.53   2.24   0.83   6.7   -5.25  -37.70   -4.77   12.86   -0.13    0.34   229  -109   120     2   -18     9     8   2.00  5.1
1981  36  4 25 50 50   5   2   0   -596      2  0.01     61    6.50    1.07    0.41   -6.39    2.48   -5.90    0.02    0.18   385.6  -384.1   -33.8    -8.7   5.01   38842.  1.49   2.28   0.82   6.6   -5.23  -37.70   -4.77   12.88    0.06    0.35   230  -108   122     2   -18     9     8   1.93  5.1
1981  36  4 26 50 50  28   4  61   -797    178  0.16    260    6.38    0.61    0.15   -6.31    2.21   -5.91    0.12    0.69   388.4  -387.4   -24.0   -12.0   5.34   34389.  1.61   2.30   0.89   7.0   -5.21  -37.70   -4.79   12.75   -0.14    0.30   234  -109   125     2   -18     9     8   1.96  5.3
1981  36  4 27 50 50  24   3  63   -912    109  0.09    175    6.28    0.89   -0.36   -6.20    1.68   -5.98    0.08    0.31   387.3  -386.0   -28.4   -11.5   5.25   37261.  1.58   2.32   0.92   7.1   -5.15  -37.72   -4.83   12.75   -0.07   -0.01   240  -104   136     2   -18     9     8   1.95  5.3
1981  36  4 28 50 50   8   3   0  -1097     13  0.01    244    6.33    0.43   -0.36   -6.31    1.71   -6.08    0.04    0.09   387.5  -386.3   -28.3     7.2   4.94   27555.  1.48   2.36   0.80   6.8   -5.14  -37.72   -4.84   12.88   -0.05   -0.04   247  -105   142     2   -18     9     9   2.00  5.2
1981  36  4 29 50 99   2 999   0  -1116      0  0.00     78    6.33    0.35   -0.41   -6.30    1.66   -6.09    0.00    0.04 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.82   -0.03    0.43   245  -107   138     2   -18     9     9   1.97 99.9
1981  36  4 30 50 50   4   1   0  -1304    151  0.08    248    6.18    1.73   -1.28   -5.64    0.61   -5.75    0.08    1.36   386.6  -385.3   -29.7    -9.4   5.26   34982.  1.57   2.22   0.94   7.2   -5.11  -37.73   -4.86   12.89    0.08   -0.08   243  -109   134     2   -18     9     9   2.02  5.3
1981  36  4 31 50 50  18   2   6  -1172    130  0.07    -72    6.15    0.92   -0.77   -5.78    1.14   -5.72    0.17    1.66   395.1  -394.4   -23.4     2.8   5.51   31017.  1.72   2.26   0.97   7.5   -5.10  -37.73   -4.86   12.82    0.00    0.00   246  -112   134     2   -18     9     9   2.01  5.6
1981  36  4 32 50 50  20   2  10  -1233    149  0.09    120    6.15    2.57   -1.91   -5.03   -0.19   -5.38    0.16    1.48   385.7  -384.4   -30.4    -7.3   5.17   33785.  1.54   2.08   0.92   7.1   -5.11  -37.73   -4.86   13.02    0.14   -0.15   262  -120   142     2   -19    10     8   2.01  5.3
1981  36  4 33 50 50   6   1  17  -1289     99  0.05    116    6.14    2.98   -2.15   -4.88   -0.47   -5.31    0.09    0.66   378.3  -376.4   -36.2     9.9   5.34   40505.  1.53   2.01   1.00   7.1   -5.05  -37.74   -4.90   13.05    0.20   -0.28   273  -124   149     2   -19     9     8   2.00  5.2
1981  36  4 34 50 99   2 999 100  -1360     12  0.01    131    6.19    2.91   -2.10   -5.04   -0.38   -5.45    0.05    0.08 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.02    0.28   -0.30   263  -126   137     2   -18    10     9   2.01 99.9
1981  36  4 35 50 50   2   1 100  -1321      0  0.00     20    6.24    2.78   -2.16   -5.15   -0.40   -5.57    0.00    0.00   377.1  -375.0   -39.4     7.9   5.43   44624.  1.54   2.10   1.00   7.0   -5.04  -37.75   -4.91   13.00    0.33   -0.28   288  -165   123     2   -18     8    10   2.05  5.2
1981  36  4 36 50 50   2   1 100  -1288     10  0.01     27    6.23    2.93   -2.01   -5.11   -0.28   -5.48    0.01    0.03   377.1  -375.0   -39.4     7.9   5.43   44624.  1.54   2.07   1.01   7.1   -5.04  -37.75   -4.91   13.03    0.35   -0.24   244  -127   117     1   -17     6    11   2.04  5.2
1981  36  4 37 50 99   2 999 100  -1251      8  0.01     22    6.20    2.83   -1.93   -5.17   -0.19   -5.52    0.04    0.09 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.05    0.39   -0.20   273  -151   122     1   -17     5    11   2.29 99.9
1981  36  4 38 50 50   3   1 100  -1221      6  0.00     30    6.21    2.76   -2.05   -5.17   -0.31   -5.55    0.03    0.09   374.6  -372.3   -41.1     5.2   5.34   55326.  1.50   2.08   1.06   7.0   -5.03  -37.75   -4.92   13.09    0.38   -0.18   267  -143   124     0   -17     5    12   2.46  5.0
1981  36  4 39 50 99   2 999 100  -1191      8  0.01     30    6.15    2.44   -2.08   -5.24   -0.32   -5.63    0.00    0.04 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.11    0.35   -0.18   267  -139   128     0   -16     6    11   2.46 99.9
1981  36  4 40 50 99   2 999 100  -1157      8  0.00     26    6.21    2.52   -1.26   -5.52    0.54   -5.64    0.02    0.23 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.10    0.32   -0.18   246  -119   127    -1   -16     8    13   2.53 99.9
1981  36  4 41 50 99   2 999 100  -1125      8  0.01     28    6.13    2.42   -1.40   -5.46    0.38   -5.62    0.02    0.12 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.16    0.29   -0.18   247  -131   116    -1   -16    11    12   2.66 99.9
1981  36  4 42 50 99   2 999 100  -1093      8  0.00     28    6.14    2.10   -1.84   -5.46   -0.04   -5.76    0.00    0.17 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.21    0.26   -0.18   234  -123   111    -1   -17    12    12   2.72 99.9
1981  36  4 43 50 99   2 999 100  -1062      7  0.01     29    6.10    1.83   -2.02   -5.46   -0.22   -5.82    0.01    0.01 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.25    0.22   -0.19   253  -134   119    -2   -16    15    12   2.67 99.9
1981  36  4 44 50 99   2 999 100  -1032      7  0.01     30    6.05    1.67   -1.91   -5.46   -0.12   -5.78    0.00    0.38 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.30    0.19   -0.19   237  -123   114    -2   -17    16    12   2.67 99.9
1981  36  4 45 50 99   2 999 100  -1004      7  0.00     31    6.10    1.20   -2.21   -5.54   -0.38   -5.95    0.03    0.27 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.33    0.15   -0.19   239  -123   116    -2   -17    17    12   2.72 99.9
1981  36  4 46 50 50   2   1 100   -977      6  0.01     32    6.06    2.92   -1.21   -5.11    0.43   -5.23    0.01    0.56   374.3  -372.8   -33.3     5.2   4.65   60866.  1.30   1.96   1.00   6.7   -4.99  -37.76   -4.95   13.38    0.10   -0.19   246  -122   124    -2   -18    18    11   2.77  4.9
1981  36  4 47 50 99   2 999 100   -952      6  0.01     34    5.93    3.01   -0.88   -4.94    0.69   -4.97    0.05    0.34 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.24   -0.02   -0.16   238  -126   111    -2   -18    16    11   2.76 99.9
1981  36  4 48 50 50   2   1 100   -924      9  0.00     32    5.75    3.56   -0.31   -4.46    1.08   -4.34    0.01    0.22   373.3  -372.3   -26.7     3.9   5.26   42886.  1.47   1.62   1.13   7.4   -4.98  -37.76   -4.95   13.18   -0.08   -0.13   251  -135   115    -2   -18    16    11   2.73  5.3
1981  36  4 49 50 99   2 999 100   -887      9  0.01     22    5.71    3.37   -0.55   -4.56    0.87   -4.51    0.02    0.13 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.13    0.06   -0.10   237  -132   105    -2   -18    17    11   2.69 99.9
1981  36  4 50 50 50   3   1 100   -853      6  0.01     26    5.69    3.00   -0.93   -4.71    0.55   -4.77    0.07    0.32   376.9  -375.3   -34.8     2.0   5.34   58067.  1.52   1.80   1.28   7.7   -4.97  -37.76   -4.96   13.08    0.17   -0.07   243  -137   106    -2   -19    15    10   2.69  5.3
1981  36  4 51 50 99   3 999 100   -829      5  0.01     35    5.80    3.84   -0.26   -4.30    1.06   -4.17    0.06    0.33 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.13    0.14   -0.06   252  -146   106    -1   -19    15    10   2.69 99.9
1981  36  4 52 50 99   3 999 100   -807      6  0.01     38    5.83    3.85   -0.61   -4.24    0.71   -4.22    0.08    0.36 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.13    0.11   -0.05   257  -149   108    -1   -19    15    10   2.70 99.9
1981  36  4 53 50 50   3   1 100   -783      7  0.01     35    5.80    4.02   -0.92   -3.97    0.33   -4.06    0.07    0.62   375.8  -374.5   -31.4     1.3   5.43   48925.  1.53   1.53   1.19   7.5   -4.95  -37.76   -4.97   13.16    0.08   -0.05   300  -196   104    -1   -19    14    10   2.75  5.3
1981  36  4 54 50 50   3   1 100   -753      6  0.01     30    5.68    2.79   -1.19   -4.78    0.31   -4.92    0.02    0.17   375.8  -374.5   -31.4     1.3   5.43   48925.  1.53   1.85   1.24   7.7   -4.95  -37.76   -4.97   13.05    0.09   -0.15   282  -183    99    -1   -19    14    10   2.84  5.4
1981  36  4 55 50 50   2   1 100   -733      5  0.01     40    5.56    2.79   -1.61   -4.46   -0.19   -4.74    0.05    0.08   374.8  -373.1   -34.0     9.8   5.43   55326.  1.53   1.78   1.34   7.9   -4.94  -37.76   -4.98   13.10    0.13   -0.31   293  -204    88    -1   -19    13     9   3.03  5.3
1981  36  4 56 50 99   3 999 100   -710      5  0.01     36    5.65    3.94   -1.75   -3.54   -0.61   -3.90    0.04    0.58 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.12    0.08   -0.32   296  -214    81    -1   -19    14     9   3.10 99.9
1981  36  4 57 50 99   3 999 100   -680      7  0.01     30    5.64    0.80   -0.55   -5.04    0.98   -4.97    0.02    1.34 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.77   -0.00   -0.29   282  -206    76     0   -19    15    10   3.27 99.9
1981  36  4 58 50 50   3   1 100   -651      8  0.01     30    5.51    0.86   -0.16   -5.41    1.46   -5.21    0.02    0.31   382.8  -381.8   -26.7     8.0   6.20   53027.  1.82   1.99   1.54   8.6   -4.93  -37.76   -4.98   12.60   -0.08   -0.27   290  -219    71     0   -19    15    10   3.46  5.7
1981  36  4 59 50 99   3 999 100   -626      5  0.01     35    5.51    1.01   -0.57   -5.36    1.05   -5.29    0.00    0.31 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.65   -0.05   -0.23   326  -248    78     0   -20    14     9   3.65 99.9
1981  36  5  0 50 99   3 999 100   -605      6  0.01     38    5.49    0.91   -0.64   -5.33    0.97   -5.28    0.02    0.58 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.74   -0.00   -0.20   374  -278    96     0   -20    14     8   3.82 99.9
1981  36  5  1 50 50   3   1 100   -582      5  0.01     37    5.46    0.85   -0.97   -5.28    0.63   -5.33    0.02    0.31   386.8  -385.4   -32.4     4.1   5.26   46752.  1.57   2.06   1.29   8.1   -4.92  -37.77   -4.99   12.85    0.06   -0.16   403  -297   106     1   -20    11     9   3.95  5.6
1981  36  5  2 50 50   3   1 100   -562      5  0.01     39    5.34    0.80   -0.81   -5.19    0.76   -5.20    0.02    0.32   386.8  -385.4   -32.4     4.1   5.26   46752.  1.57   2.01   1.34   8.3   -4.92  -37.77   -4.99   12.95    0.03   -0.20   454  -340   114     2   -21    10     9   4.07  5.7
1981  36  5  3 50 99   4 999 100   -544      4  0.01     42    5.35    1.29   -1.16   -5.04    0.37   -5.16    0.03    0.27 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.03   -0.06   -0.30   468  -340   128     2   -21     8    10   4.18 99.9
1981  36  5  4 50 50   3   1 100   -525      5  0.01     41    5.41    0.88   -0.07   -5.30    1.49   -5.09    0.02    0.40   387.2  -386.2   -25.6    11.5   4.91   41858.  1.47   1.97   1.19   7.9   -4.90  -37.77   -5.01   13.01   -0.15   -0.36   424  -302   122     2   -21     7    10   4.29  5.6
1981  36  5  5 50 99   3 999  33   -512      4  0.02     46    5.48    0.81   -0.26   -5.37    1.32   -5.21    0.04    0.38 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.92   -0.18   -0.29   377  -251   126     3   -21     6    10   4.46 99.9
1981  36  5  6 50 99   1 999 100   -469      0  0.00     16    5.41    1.04   -0.53   -5.28    1.03   -5.21    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.87   -0.21   -0.24   363  -223   140     3   -21     8    10   4.71 99.9
1981  36  5  7 50 99   1 999 100   -419      0  0.00     10    5.03    1.54   -0.01   -4.62    1.33   -4.42    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.91   -0.22   -0.21   392  -234   158     3   -21    10    12   4.98 99.9
1981  36  5  8 50 99   1 999 100   -365      0  0.00      5    4.94    0.86    2.10   -4.19    3.22   -3.40    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.95   -0.24   -0.19   412  -243   169     4   -21    11    12   5.35 99.9
1981  36  5  9 50 99   2 999 100   -326     25  0.04     21    4.98    0.74    3.32   -3.40    4.16   -2.30    0.02    0.95 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.07   -0.25   -0.17   433  -244   189     4   -22    13    12   5.55 99.9
1981  36  5 10 50 99   1 999 100   -310      0  0.00     44    4.99    0.69    3.83   -3.06    4.55   -1.83    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.12   -0.25   -0.16   442  -238   204     5   -22    15    13   5.67 99.9
1981  36  5 11 50 99   1 999 100   -248      0  0.00     -1    4.99    1.10    3.89   -2.90    4.56   -1.66    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.12   -0.27   -0.13   458  -259   199     5   -22    18    13   5.86 99.9
1981  36  5 12 50 99   1 999 100   -182      0  0.00     -6    5.04    1.16    4.19   -2.54    4.74   -1.24    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.15   -0.28   -0.11   447  -269   178     6   -22    20    13   5.99 99.9
1981  36  5 14 50 99   1 999 100   -107      0  0.00 999999    5.00    1.22    2.89   -3.51    3.77   -2.54    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.94   -0.29   -0.08   478  -308   170     6   -22    24    14   6.35 99.9
1981  36  5 15 50 99   1 999 100    -27      0  0.00    -19    5.15    0.98    1.00   -4.95    2.36   -4.46    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.70   -0.30   -0.05   467  -309   158     6   -22    25    14   6.66 99.9
1981  36  5 17 50 99   1 999 100     55      0  0.00 999999    5.17    1.29    1.02   -4.86    2.35   -4.38    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.69   -0.31   -0.02   450  -291   159     7   -22    28    15   6.78 99.9
1981  36  5 19 50 99   1 999 100    144      0  0.00 999999    5.18    1.22    1.11   -4.89    2.43   -4.38    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.66   -0.32    0.01   488  -304   184     7   -22    31    17   7.12 99.9
1981  36  5 20 50 50   1   1 100    241      0  0.00    -36    5.11    1.16    1.20   -4.83    2.50   -4.30    0.00    0.00   381.0  -380.5   -19.9    -0.7   6.20   46752.  1.80   1.64   1.73   9.3   -4.86  -37.78   -5.03   12.65   -0.32   -0.02   461  -273   188     7   -22    31    17   7.27  5.9
1981  36  5 21 50 50   1   1 100    241      0  0.00     60    5.11    1.16    1.20   -4.83    2.49   -4.31    0.00    0.00   381.0  -380.5   -19.9    -0.7   6.20   46752.  1.80   1.64   1.73   9.3   -4.86  -37.78   -5.03   12.65   -0.32   -0.02   463  -275   188     7   -22    31    17   7.15  5.9
1981  36  5 22 50 99   1 999 100    345      0  0.00    -44    5.20    1.16    1.38   -4.87    2.67   -4.30    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.63   -0.31   -0.12   554  -346   208     7   -22    31    18   7.00 99.9
1981  36  5 23 50 99   1 999 100    345      0  0.00     60    5.20    1.16    1.38   -4.87    2.67   -4.30    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.63   -0.31   -0.12   559  -339   220     7   -22    31    18   7.00 99.9
1981  36  5 24 50 50  18   3 100     11     51  0.07    393    5.25   -0.29    0.83   -5.12    2.21   -4.69    0.03    0.54   389.7  -389.3   -16.9     2.5   6.29   45517.  1.91   1.83   1.65   9.3   -4.79  -37.79   -5.08   12.48   -0.42   -0.07   530  -324   206     6   -22    30    19   6.85  6.0
1981  36  5 25 50 50  40   7  70    -37    240  0.30    107    5.32    0.33    0.47   -5.21    1.88   -4.88    0.13    0.78   387.8  -387.0   -23.5     9.4   6.09   44114.  1.83   1.89   1.54   9.0   -4.77  -37.80   -5.09   12.53   -0.27   -0.26   525  -309   216     6   -22    29    20   6.76  5.9
1981  36  5 26 50 50  14   4  36     41    359  0.43    -17    5.38    0.02    0.72   -5.17    2.10   -4.78    0.14    1.30   390.4  -389.8   -18.2     8.8   5.96   35529.  1.82   1.87   1.40   8.9   -4.78  -37.79   -5.09   12.56   -0.37   -0.28   526  -316   210     6   -22    27    20   6.73  6.0
1981  36  5 27 50 50   9   3  22     11    430  0.46     90    5.41    0.04    1.45   -5.12    2.79   -4.53    0.14    0.88   386.5  -386.2   -15.9    -1.2   6.04   32730.  1.80   1.75   1.38   8.8   -4.72  -37.81   -5.13   12.54   -0.45   -0.10   526  -311   215     6   -22    26    20   6.54  5.9
1981  36  5 28 50 50   8   1  25   -217    337  0.35    287    5.46    0.05    2.23   -4.93    3.48   -4.14    0.09    0.65   388.1  -388.1    -3.4     0.7   6.54   41858.  1.97   1.61   1.55   9.1   -4.71  -37.81   -5.14   12.51   -0.69   -0.14   505  -301   204     5   -22    25    20   6.46  5.9
1981  36  5 29 50 50   5   1  20   -337    169  0.17    180    5.57    0.07    2.41   -5.00    3.67   -4.16    0.07    0.34   383.4  -382.6   -21.4    11.4   6.28   43577.  1.85   1.59   1.45   8.6   -4.86  -37.78   -5.03   12.60   -0.64   -0.25   491  -295   196     5   -22    23    20   6.42  5.7
1981  36  5 30 50 50   7   2   0   -210    335  0.33    -66    5.50    0.38    2.29   -4.92    3.53   -4.12    0.10    0.69   384.6  -384.1   -16.5    11.4   6.02   31945.  1.78   1.58   1.33   8.6   -4.76  -37.80   -5.10   12.64   -0.56   -0.31   505  -292   213     4   -23    21    20   6.29  5.9
1981  36  5 31 50 50   3   2   0   -351      3  0.01    200    5.59    0.42    2.91   -4.75    4.08   -3.79    0.05    0.07   385.2  -385.1    -5.5     3.5   6.45   37772.  1.91   1.46   1.43   8.8   -4.68  -37.81   -5.16   12.54   -0.77   -0.12   502  -269   233     4   -23    20    21   6.23  5.9
1981  36  5 32 50 99   7 999   0   -365     37  0.06     74    5.52    0.24    3.28   -4.40    4.34   -3.36    0.07    0.40 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.64   -0.67   -0.07   526  -288   238     4   -24    19    21   6.26 99.9
1981  36  5 33 50 99   2 999   0   -324      2  0.01     19    5.52    0.25    3.50   -4.24    4.50   -3.15    0.01    0.17 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.67   -0.65   -0.07   557  -293   264     4   -24    20    20   6.34 99.9
1981  36  5 34 50 50   4   1   0   -326     14  0.03     61    5.50    0.14    4.35   -3.00    4.99   -1.73    0.04    1.37   385.2  -385.0   -12.8     1.3   6.20   42886.  1.84   0.67   1.46   8.7   -4.66  -37.82   -5.17   12.88   -0.69   -0.12   562  -278   284     4   -24    20    20   6.30  5.8
